,Czech,English
0,být,be
1,a,and
2,se,with
3,v,in
4,na,on
5,ten,the
6,s,with
7,že,that
8,on,he
9,z,from
10,který,who
11,mít,have
12,do,to
13,o,O
14,ale,but
15,k,to
16,já,I
17,jako,like
18,moci,can
19,svůj,its
20,za,for
21,pro,for
22,rok,year
23,tak,so
24,po,after
25,oni,they
26,co,what
27,když,when
28,tento,this
29,už,already
30,všechen,all
31,jak,as
32,od,from
33,aby,that
34,nebo,or
35,jeho,his
36,jen,just
37,jeden,one
38,člověk,human
39,u,at
40,muset,have to
41,velký,large
42,chtít,want
43,jenž,that
44,my,we
45,říci,say
46,než,than
47,pak,then
48,jít,go
49,při,at
50,vědět,know
51,také,also
52,dva,two
53,před,before
54,stát,state
55,nový,new
56,vy,you
57,celý,whole
58,ani,or
59,hodně,much
60,její,its
61,jiný,other
62,můj,my
63,první,first
64,jejich,their
65,až,until
66,podle,according to
67,dobrý,good
68,mezi,between
69,kde,where
70,ty,you
71,však,however
72,dát,give
73,tam,PUSH
74,náš,our
75,den,day
76,každý,each
77,něco,something
78,doba,time
79,druhý,second
80,protože,because
81,dítě,child
82,ne,No
83,takový,such
84,vidět,see
85,říkat,say
86,začít,start
87,život,life
88,místo,place
89,či,whose
90,malý,small
91,bez,without
92,ruka,hand
93,nějaký,some
94,sám,alone
95,teď,now
96,pokud,if
97,dobře,good
98,dostat,get
99,myslet,to think
100,práce,work
101,pod,under
102,strana,page
103,svět,world
104,tedy,therefore
105,přijít,come
106,například,for example
107,vysoký,high
108,země,country
109,tenhle,this one
110,tři,three
111,čas,time
112,dělat,do
113,žena,woman
114,žádný,no
115,muž,man
116,případ,case
117,kdo,who
118,třeba,perhaps
119,starý,old
120,hlava,head
121,několik,several
122,velmi,very
123,oko,eye
124,nad,over
125,město,city
126,poslední,last
127,cesta,way
128,některý,some
129,asi,about
130,jaký,what
131,právě,just
132,přes,over
133,dům,house
134,proto,therefore
135,věc,thing
136,tu,here
137,voda,water
138,společnost,company
139,najít,find
140,již,already
141,brzy,soon
142,část,part
143,což,which
144,udělat,do
145,vlastní,own
146,dokázat,prove
147,chvíle,moment
148,systém,system
149,kdyby,if
150,hodina,hour
151,proč,why
152,stejně,anyway
153,takže,so
154,často,often
155,dnes,today
156,slovo,word
157,tady,here
158,až,until
159,lze,can be
160,nechat,let
161,problém,problem
162,někdo,someone
163,oba,both
164,možný,possible
165,vůbec,at all
166,cena,price
167,proti,against
168,Praha,Prague
169,rád,order
170,stále,still
171,řada,advice
172,možná,maybe
173,škola,school
174,pouze,only
175,hrát,play
176,jestli,if
177,nikdo,no one
178,firma,firm
179,mladý,young
180,totiž,namely
181,různý,different
182,čekat,wait
183,mluvit,speak
184,kolem,around
185,váš,your
186,málo,little
187,jediný,only
188,vrátit,return
189,zase,again
190,snažit,to try
191,konec,end
192,vypadat,look
193,koruna,crown
194,pohled,view
195,vzít,take
196,dokonce,even
197,patřit,belong
198,způsob,way
199,hlavní,main
200,zůstat,remain
201,dveře,door
202,možnost,possibility
203,vést,lead
204,oblast,region
205,moc,urine
206,potřebovat,need
207,stejný,same
208,milión,million
209,pozdě,late
210,důležitý,important
211,žít,live
212,znát,know
213,trochu,a little
214,nakonec,eventually
215,peníze,money
216,taky,too
217,tělo,body
218,daleko,far
219,situace,situation
220,stát,state
221,otázka,question
222,kniha,book
223,kvůli,due to
224,skupina,group
225,znovu,again
226,navíc,additionally
227,cítit,feel
228,ovšem,however
229,ano,Yes
230,dojít,milk
231,pan,Mr
232,otec,father
233,tisíc,thousand
234,mnoho,many
235,rodina,family
236,ostatní,other
237,měsíc,month
238,čtyři,four
239,především,primarily
240,získat,gain
241,matka,mother
242,hned,brown
243,změna,change
244,dále,further
245,během,during
246,jméno,name
247,projekt,project
248,pár,few
249,znamenat,mean
250,týden,week
251,pracovat,work
252,zde,here
253,dlouho,long
254,auto,car
255,snad,perhaps
256,tvář,face
257,zeptat,to ask
258,výsledek,result
259,díky,Thanks
260,někdy,sometimes
261,většina,most
262,úplně,completely
263,příliš,too
264,slyšet,hear
265,rychle,quick
266,nyní,now
267,li,if
268,pět,five
269,téměř,almost
270,podívat,to look
271,co,what
272,známý,known
273,ještě,still
274,noc,night
275,síla,force
276,vztah,relationship
277,noha,foot
278,dost,enough
279,spíš,file
280,program,program
281,rozhodnout,decide
282,přece,after all
283,vlastně,actually
284,hlas,voice
285,jenom,only
286,důvod,reason
287,hra,game
288,film,film
289,opravdu,really
290,minuta,minute
291,pořád,always
292,samozřejmě,Of course
293,nejen,not only
294,informace,information
295,objevit,discover
296,prostor,space
297,přitom,while
298,pravda,truth
299,ukázat,show
300,služba,service
301,Kč,CZK
302,existovat,exist
303,vždy,always
304,uvést,to state
305,evropský,European
306,sedět,sit
307,zcela,completely
308,přímo,direct
309,druh,species
310,století,century
311,jistý,sure
312,základní,basic
313,stačit,suffice
314,kromě,besides
315,pomoci,help
316,potom,then
317,jinak,otherwise
318,bílý,white
319,tehdy,then
320,plný,full
321,špatný,bad
322,vždycky,always
323,procento,percent
324,podobný,similar
325,chodit,walk
326,zdát,to dream
327,ulice,street
328,zákon,law
329,typ,type
330,hodnota,value
331,pocit,feeling
332,stav,state
333,černý,black
334,okno,window
335,dávat,give
336,věřit,believe
337,počet,number
338,právo,right
339,směr,direction
340,zatím,yet
341,zatímco,while
342,otevřít,open
343,platit,pay
344,spolu,together
345,smrt,death
346,stůl,table
347,opět,again
348,bod,point
349,tým,team
350,zájem,interest
351,vláda,government
352,silný,strong
353,prostě,just
354,přesně,exactly
355,trh,market
356,hlavně,mainly
357,kraj,region
358,jednotlivý,individual
359,současný,present
360,jednat,act
361,světlo,light
362,podmínka,condition
363,zjistit,to find out
364,lidský,human
365,tvůj,your
366,zda,whether
367,zápas,wrestle
368,zejména,especially
369,psát,write
370,těžký,heavy
371,změnit,alter
372,i,and
373,pokračovat,continue
374,no,well
375,jet,go
376,prostředí,environment
377,držet,hold
378,umět,to be able to
379,válka,war
380,nízký,low
381,hledat,search
382,cíl,target
383,zároveň,at the same time
384,představovat,represent
385,dívat,to watch
386,určitý,certain
387,určitě,certainly
388,naopak,on the contrary
389,skončit,end
390,více,more
391,pokoj,room
392,jednou,once
393,rodič,parent
394,vedle,next to
395,jasný,clear
396,používat,use
397,osoba,person
398,řešení,solution
399,barva,color
400,kolo,wheel
401,začínat,to begin
402,považovat,to consider
403,jenže,but
404,funkce,function
405,stavba,building
406,základ,basis
407,podařit,to succeed
408,působit,act
409,smysl,meaning
410,číslo,number
411,skutečnost,fact
412,role,role
413,metr,meter
414,Evropa,Europe
415,potřeba,need
416,rozdíl,difference
417,zpráva,message
418,představit,introduce
419,odpovědět,reply
420,zdroj,source
421,nabízet,to offer
422,domácí,home
423,energie,energy
424,krok,step
425,vyjít,go out
426,ležet,lie
427,sociální,social
428,prý,supposedly
429,brát,take
430,třetí,third
431,doma,at home
432,státní,national
433,americký,American
434,centrum,center
435,sledovat,track
436,paní,Ms
437,připravit,prepare
438,člen,member
439,vhodný,suitable
440,akce,action
441,přesto,yet
442,kam,where
443,krásný,beautiful
444,obraz,image
445,forma,form
446,období,period
447,byt,be
448,mnohem,much
449,činnost,activity
450,Jan,John
451,obec,village
452,přítel,friend
453,republika,republic
454,proces,process
455,skoro,almost
456,hráč,player
457,soud,court
458,napsat,write
459,výkon,performance
460,trvat,last
461,syn,son
462,materiál,material
463,rámec,framework
464,politický,political
465,poté,afterwards
466,sem,PULL
467,zajímavý,interesting
468,bůh,God
469,tvořit,to create
470,bývat,to live
471,model,model
472,věnovat,pay
473,skutečně,actually
474,vydat,issue
475,srdce,heart
476,postavit,to build
477,vlas,hair
478,Petr,Peter
479,autor,author
480,konečně,finally
481,láska,love
482,pražský,Prague
483,pomoc,Help
484,dodat,furnish
485,polovina,half
486,veřejný,public
487,nutný,necessary
488,dílo,work
489,schopný,capable
490,strom,tree
491,stránka,page
492,rád,order
493,vytvořit,create
494,příběh,story
495,zastavit,stop
496,jednoduchý,simple
497,vývoj,development
498,tvrdit,claim
499,společný,common
500,začátek,beginning
501,odejít,leave
502,pracovní,working
503,národní,national
504,zřejmě,apparently
505,domů,home
506,podpora,support
507,významný,significant
508,vzduch,air
509,vzniknout,to arise
510,místní,local
511,šest,six
512,zařízení,device
513,úřad,office
514,lékař,doctor
515,podoba,form
516,poprvé,first
517,klub,club
518,míra,rate
519,světový,global
520,součást,component
521,množství,amount
522,pohyb,movement
523,ředitel,director
524,volba,choice
525,názor,opinion
526,myšlenka,idea
527,německý,German
528,okamžik,moment
529,chybět,to miss
530,alespoň,at least
531,mimo,outside
532,teprve,only
533,síť,network
534,bývalý,former
535,plán,plan
536,zkušenost,experience
537,rameno,shoulder
538,úroveň,level
539,bát,to fear
540,jazyk,language
541,poznat,know
542,les,forest
543,chápat,understand
544,miliarda,billion
545,správný,right
546,krátký,short
547,pole,field
548,většinou,mostly
549,najednou,suddenly
550,divadlo,theater
551,letos,this year
552,pravý,right
553,prezident,president
554,zahrada,gardens
555,střední,medium
556,číst,read
557,nemocnice,HOSPITAL
558,připadat,seem
559,vliv,influence
560,samotný,alone
561,soutěž,competition
562,policie,POLICE
563,věk,age
564,včetně,including
565,široký,wide
566,životní,vital
567,pes,dog
568,zvíře,animal
569,použít,use
570,spousta,a lot
571,prst,finger
572,zapomenout,forget
573,smět,may
574,obchod,trade
575,půl,half
576,text,text
577,postup,procedure
578,ani,or
579,téma,topic
580,vedení,knowledge
581,líbit,to like
582,budova,building
583,ptát,to ask
584,telefon,phone
585,Jiří,George
586,koupit,buy
587,fungovat,work
588,plocha,flat
589,včera,yesterday
590,zvednout,lift
591,místnost,room
592,vybrat,choose
593,jistě,sure
594,minulý,last
595,uvidět,see
596,moderní,modern
597,blízký,close
598,dosáhnout,achieve
599,zhruba,roughly
600,dívka,girl
601,postel,bed
602,využít,to use
603,přinést,bring
604,rovněž,also
605,běžný,ordinary
606,osobní,personal
607,nabídka,offer
608,pomalu,slowly
609,obrovský,huge
610,zvláštní,special
611,krev,blood
612,výroba,production
613,neboť,because
614,hranice,limit
615,stěna,wall
616,rada,advice
617,slunce,sun
618,červený,red
619,celkový,total
620,jo,yeah
621,občas,sometimes
622,rychlost,speed
623,manžel,husband
624,dcera,daughter
625,finanční,financial
626,příští,next
627,hudba,music
628,příjemný,pleasant
629,kvalita,quality
630,přestat,stop
631,sestra,sister
632,jídlo,food
633,vůz,car
634,rychlý,quick
635,skutečný,real
636,milovat,love
637,obličej,face
638,představa,idea
639,dosud,yet
640,tvar,face
641,napadnout,attack
642,datum,date
643,takhle,like this
644,původní,original
645,zpátky,back
646,název,name
647,návrh,proposal
648,zrovna,just
649,hvězda,star
650,kolik,pin
651,tzv,so-called
652,dvacet,twenty
653,obvykle,usually
654,bratr,brother
655,náklad,cargo
656,pochopit,understand
657,duch,spirit
658,pacient,patient
659,kluk,boy
660,místo,place
661,jakýkoli,any
662,politika,policy
663,měnit,to change
664,třída,class
665,smlouva,bargain
666,prostředek,means
667,zelený,green
668,zajímat,interest
669,strach,fear
670,nacházet,to find
671,všimnout,to notice
672,odpověď,response
673,okolí,surroundings
674,onen,that
675,péče,care
676,přístup,access
677,řešit,to solve
678,organizace,organization
679,pustit,let go
680,vysvětlit,explain
681,Česko,Czechia
682,podobně,similarly
683,využívat,to use
684,obyvatel,resident
685,přijet,arrive
686,radost,joy
687,postupně,gradually
688,daný,given
689,ať,let
690,záda,back
691,metoda,method
692,mrtvý,dead
693,ministerstvo,ministry
694,silnice,road
695,poslat,send
696,rozhodně,definitely
697,student,student
698,ministr,minister
699,studium,study
700,přát,launder
701,ztratit,lose
702,postava,figure
703,ukazovat,show
704,mnohý,many
705,příklad,example
706,prohlásit,declare
707,list,blade
708,večer,evening
709,hora,mountain
710,zemřít,die
711,pomocí,help
712,otočit,turn
713,ráno,morning
714,šance,chance
715,ČR,Czech Republic
716,zeď,wall
717,velice,very
718,odpovídat,to answer
719,úspěch,success
720,šéf,boss
721,úkol,task
722,teplota,temperature
723,schopnost,ability
724,bezpečný,safe
725,prosit,sift
726,volný,free
727,sloužit,serve
728,pomáhat,assist
729,počítat,count
730,látka,substance
731,přidat,add
732,otevřený,open
733,počítač,computer
734,zůstávat,to stay
735,kámen,calculus
736,dnešní,today's
737,vnitřní,internal
738,hodit,throw
739,technologie,technology
740,jakýsi,some kind
741,pán,Mr
742,docela,quite
743,zmizet,disappear
744,majitel,owner
745,kuchyně,kitchen
746,pravidlo,rule
747,rozhodnutí,decision
748,nějak,somehow
749,doufat,hope
750,průběh,progress
751,rozumět,understand
752,spát,sleep
753,znít,sound
754,vycházet,to get along
755,dopis,letter
756,kus,piece
757,vyhrát,win
758,boj,fight
759,velikost,size
760,předtím,previously
761,host,guest
762,jednání,negotiation
763,projít,go through
764,městský,urban
765,fotografie,photo
766,sen,dream
767,uvědomit,to realize
768,zákazník,customer
769,aktivita,activity
770,historie,history
771,Martin,Martin
772,snímek,snapshot
773,banka,flask
774,událost,event
775,prvek,element
776,povrch,surface
777,kousek,piece
778,spojený,connected
779,loď,ship
780,dít,to happen
781,vysvětlovat,to explain
782,jezdit,to ride
783,Josef,Joseph
784,vracet,to return
785,ať,let
786,chyba,error
787,šťastný,happy
788,minulost,past
789,aspoň,at least
790,moře,sea
791,podnik,business
792,špatně,poorly
793,proud,current
794,snadno,easily
795,přicházet,come
796,spolupráce,cooperation
797,bavit,amuse
798,položit,lay
799,víno,wine
800,význam,importance
801,naprosto,absolutely
802,sedm,seven
803,jmenovat,appoint
804,kultura,culture
805,vysoko,high
806,území,territory
807,vyprávět,tell
808,pozice,position
809,příležitost,opportunity
810,okamžitě,immediately
811,zaměstnanec,employee
812,letošní,this year's
813,konkrétní,specific
814,někde,somewhere
815,chovat,to breed
816,nabídnout,offer
817,příprava,preparation
818,Karel,Charles
819,čelo,forehead
820,týkat,to concern
821,večer,evening
822,závěr,conclusion
823,obsahovat,contain
824,přijmout,accept
825,ochrana,protection
826,vážně,seriously
827,půda,soil
828,zbytek,residue
829,pozornost,attention
830,máma,mom
831,papír,paper
832,trenér,coach
833,rozhovor,interview
834,umění,art
835,následující,following
836,předmět,subject
837,řeka,river
838,dětský,childlike
839,článek,article
840,stroj,machine
841,kůň,horse
842,aplikace,application
843,příroda,nature
844,výraz,expression
845,bolest,pain
846,veškerý,all
847,návštěva,visit
848,docházet,to run
849,podstata,essence
850,osm,eight
851,m,m
852,poměrně,relatively
853,chování,behavior
854,rozvoj,development
855,společně,together
856,chlapec,boy
857,celkem,total
858,obsah,contents
859,samý,alone
860,televize,TV
861,závod,race
862,připomínat,to remind
863,objekt,object
864,nástroj,tool
865,naučit,to teach
866,značka,mark
867,kůže,skin
868,pozorovat,observe
869,vloni,last year
870,mezinárodní,international
871,desítka,ten
872,nicméně,however
873,ven,out
874,tentokrát,this time
875,manželka,wife
876,přestože,even though
877,zvuk,sound
878,vlna,wave
879,zavolat,call
880,Pavel,Paul
881,úspěšný,successful
882,technický,technical
883,dokud,until
884,bohužel,unfortunately
885,stupeň,degree
886,pohybovat,to move
887,táta,dad
888,výrazně,significantly
889,nést,bear
890,vzhledem,appearance
891,pamatovat,remember
892,umožňovat,to enable
893,deska,plate
894,voják,soldier
895,dolů,down
896,řeč,speech
897,vrstva,layer
898,modrý,blue
899,kilometr,kilometer
900,sto,hundred
901,univerzita,university
902,čistý,net
903,provést,to carry out
904,proto,therefore
905,úprava,treatment
906,jakmile,once
907,chuť,taste
908,rodinný,family
909,speciální,special
910,živý,live
911,těšit,to enjoy
912,doktor,doctor
913,výběr,selection
914,Německo,Germany
915,s,with
916,vzpomínat,to remember
917,štěstí,luck
918,úsměv,smile
919,vlastnost,property
920,kvalitní,quality
921,dovolit,allow
922,jednotka,unit
923,mluvčí,spokesman
924,obchodní,commercial
925,tolik,so many
926,nikoli,not
927,růst,growth
928,rostlina,plant
929,ekonomický,economic
930,ačkoli,although
931,zdravotní,medical
932,Tomáš,Thomas
933,konstrukce,construction
934,ohled,regard
935,styl,style
936,vůči,towards
937,zlatý,gold
938,kontrola,control
939,klient,client
940,fakt,fact
941,hluboký,deep
942,stavební,construction
943,pouhý,mere
944,důsledek,consequence
945,doprava,transport
946,věda,science
947,ústa,mouth
948,vnímat,perceive
949,dostávat,receive
950,teorie,theory
951,pokusit,to try
952,bydlet,stay
953,zástupce,representative
954,verze,version
955,obor,field
956,stávat,to become
957,kolega,colleague
958,vytvářet,create
959,žák,disciple
960,bohatý,rich
961,oblíbený,favorite
962,řidič,driver
963,historický,historically
964,soubor,file
965,klid,peace
966,klasický,classical
967,usmát,smile
968,sezona,season
969,výrazný,significant
970,kapitola,chapter
971,podat,to submit
972,očekávat,expect
973,chystat,to prepare
974,obrátit,to turn
975,pořádek,order
976,výrobce,manufacturer
977,škoda,damage
978,poslouchat,listen
979,kancelář,office
980,zaplatit,pay
981,požadavek,requirement
